ticker_removed,N,mean,median,wr,pf,impact
AMD,16,0.022232,0.011656,0.625,3.75,-4%
AMZN,15,0.024767,0.011656,0.6667,4.28,+7%
AVGO,16,0.026992,0.013046,0.6875,5.78,+17%
BABA,16,0.023825,0.013046,0.625,3.95,+3%
BIDU,16,0.02502,0.013046,0.6875,4.28,+8%
COIN,15,0.014422,0.006108,0.6,2.67,-38%
COST,16,0.025513,0.013046,0.6875,4.58,+10%
GOOGL,16,0.024304,0.013046,0.625,4.01,+5%
MARA,15,0.012399,0.006108,0.6,2.44,-46%
META,16,0.023738,0.011656,0.625,3.94,+3%
MU,16,0.024172,0.013046,0.625,3.99,+5%
NVDA,16,0.025165,0.013046,0.6875,4.37,+9%
PLTR,15,0.027004,0.011656,0.6667,5.61,+17%
