ticker,trigger_time,entry_vix,min_vix_during_hold,regime_class,return_pct,hold_bars,exit_reason
AAPL,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,3.0604,10,hard_max
AMD,2025-03-11 09:30:00,27.86,24.23,VIX_SOFTENED,5.0453,2,ema21_touch
AMD,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,12.0352,7,ema21_touch
AMD,2025-11-21 09:30:00,26.42,17.19,VIX_SOFTENED,8.9569,10,hard_max
AMZN,2025-04-21 09:30:00,29.65,26.47,VIX_STAYED_HIGH,9.8527,4,ema21_touch
AVGO,2025-04-04 09:30:00,30.02,45.31,VIX_STAYED_HIGH,20.2825,6,ema21_touch
BA,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,16.7817,7,ema21_touch
BA,2025-11-21 09:30:00,26.42,18.56,VIX_SOFTENED,4.3077,6,ema21_touch
C,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,4.9267,10,hard_max
COIN,2025-03-11 09:30:00,27.86,20.51,VIX_SOFTENED,-0.8973,10,hard_max
COIN,2025-04-08 13:30:00,46.98,33.62,VIX_STAYED_HIGH,16.8789,2,ema21_touch
COIN,2025-11-21 09:30:00,26.42,17.19,VIX_SOFTENED,14.5504,8,ema21_touch
COST,2025-03-11 09:30:00,27.86,20.51,VIX_SOFTENED,-2.5305,10,hard_max
GOOGL,2025-04-04 13:30:00,30.02,45.31,VIX_STAYED_HIGH,9.0414,6,ema21_touch
GS,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,9.4014,7,ema21_touch
GS,2025-10-17 09:30:00,25.31,17.3,VIX_SOFTENED,4.1574,10,ema21_touch
GS,2026-03-13 09:30:00,27.29,27.29,VIX_STAYED_HIGH,2.4501,7,data_end
JPM,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,10.5465,7,ema21_touch
JPM,2025-11-21 09:30:00,26.42,18.56,VIX_SOFTENED,3.4283,6,ema21_touch
MARA,2025-04-08 13:30:00,46.98,33.62,VIX_STAYED_HIGH,16.8251,2,ema21_touch
MARA,2025-11-21 09:30:00,26.42,17.19,VIX_SOFTENED,14.1717,10,hard_max
META,2025-04-08 13:30:00,46.98,33.62,VIX_STAYED_HIGH,14.4707,2,ema21_touch
META,2026-03-13 09:30:00,27.29,27.29,VIX_STAYED_HIGH,0.091,7,data_end
MSFT,2025-03-11 09:30:00,27.86,21.77,VIX_SOFTENED,3.0054,7,ema21_touch
MSFT,2025-04-08 13:30:00,46.98,33.62,VIX_STAYED_HIGH,6.606,1,ema21_touch
MSFT,2025-11-21 09:30:00,26.42,17.19,VIX_SOFTENED,4.0785,8,ema21_touch
MU,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,4.3512,10,hard_max
NVDA,2025-04-04 09:30:00,30.02,45.31,VIX_STAYED_HIGH,13.1364,6,ema21_touch
PLTR,2025-11-21 09:30:00,26.42,18.56,VIX_SOFTENED,9.0696,6,ema21_touch
SNOW,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,16.8725,7,ema21_touch
SNOW,2025-11-21 09:30:00,26.42,17.19,VIX_SOFTENED,8.2783,8,ema21_touch
TSLA,2025-03-11 09:30:00,27.86,20.51,VIX_SOFTENED,1.4253,10,hard_max
TSLA,2025-11-21 09:30:00,26.42,23.43,VIX_SOFTENED,6.0714,2,ema21_touch
TSM,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,8.7663,7,ema21_touch
TXN,2025-04-04 09:30:00,30.02,33.62,VIX_STAYED_HIGH,10.0879,7,ema21_touch
TXN,2026-03-13 09:30:00,27.29,27.29,VIX_STAYED_HIGH,-0.3135,7,data_end
V,2025-04-04 13:30:00,30.02,45.31,VIX_STAYED_HIGH,6.2846,6,ema21_touch
