ticker,trigger_time,return_pct,is_loss,vix,rsi,hold_bars,exit_reason,streak
AMD,2025-03-11 09:30:00,5.0453,False,27.86,29.85,2,ema21_touch,3
COIN,2025-03-11 09:30:00,-0.8973,True,27.86,28.73,10,hard_max,3
COST,2025-03-11 09:30:00,-2.5305,True,27.86,24.91,10,hard_max,3
MSFT,2025-03-11 09:30:00,3.0054,False,27.86,31.82,7,ema21_touch,3
TSLA,2025-03-11 09:30:00,1.4253,False,27.86,18.75,10,hard_max,3
AAPL,2025-04-04 09:30:00,3.0604,False,30.02,21.4,10,hard_max,4
AMD,2025-04-04 09:30:00,12.0352,False,30.02,23.64,7,ema21_touch,4
AVGO,2025-04-04 09:30:00,20.2825,False,30.02,21.72,6,ema21_touch,4
BA,2025-04-04 09:30:00,16.7817,False,30.02,18.93,7,ema21_touch,4
C,2025-04-04 09:30:00,4.9267,False,30.02,18.94,10,hard_max,3
GS,2025-04-04 09:30:00,9.4014,False,30.02,23.47,7,ema21_touch,4
JPM,2025-04-04 09:30:00,10.5465,False,30.02,21.38,7,ema21_touch,4
MU,2025-04-04 09:30:00,4.3512,False,30.02,17.83,10,hard_max,4
NVDA,2025-04-04 09:30:00,13.1364,False,30.02,23.1,6,ema21_touch,4
SNOW,2025-04-04 09:30:00,16.8725,False,30.02,25.43,7,ema21_touch,4
TSM,2025-04-04 09:30:00,8.7663,False,30.02,22.75,7,ema21_touch,4
TXN,2025-04-04 09:30:00,10.0879,False,30.02,21.05,7,ema21_touch,4
GOOGL,2025-04-04 13:30:00,9.0414,False,30.02,24.34,6,ema21_touch,3
V,2025-04-04 13:30:00,6.2846,False,30.02,24.06,6,ema21_touch,3
COIN,2025-04-08 13:30:00,16.8789,False,46.98,30.05,2,ema21_touch,3
MARA,2025-04-08 13:30:00,16.8251,False,46.98,33.88,2,ema21_touch,3
META,2025-04-08 13:30:00,14.4707,False,46.98,28.4,2,ema21_touch,3
MSFT,2025-04-08 13:30:00,6.606,False,46.98,26.48,1,ema21_touch,3
AMZN,2025-04-21 09:30:00,9.8527,False,29.65,32.36,4,ema21_touch,4
GS,2025-10-17 09:30:00,4.1574,False,25.31,32.35,10,ema21_touch,6
AMD,2025-11-21 09:30:00,8.9569,False,26.42,27.24,10,hard_max,3
BA,2025-11-21 09:30:00,4.3077,False,26.42,18.68,6,ema21_touch,3
COIN,2025-11-21 09:30:00,14.5504,False,26.42,26.53,8,ema21_touch,3
JPM,2025-11-21 09:30:00,3.4283,False,26.42,34.01,6,ema21_touch,3
MARA,2025-11-21 09:30:00,14.1717,False,26.42,19.82,10,hard_max,3
MSFT,2025-11-21 09:30:00,4.0785,False,26.42,24.63,8,ema21_touch,3
PLTR,2025-11-21 09:30:00,9.0696,False,26.42,27.89,6,ema21_touch,3
SNOW,2025-11-21 09:30:00,8.2783,False,26.42,22.16,8,ema21_touch,3
TSLA,2025-11-21 09:30:00,6.0714,False,26.42,34.78,2,ema21_touch,3
GS,2026-03-13 09:30:00,2.4501,False,27.29,29.93,7,data_end,3
META,2026-03-13 09:30:00,0.091,False,27.29,33.75,7,data_end,3
TXN,2026-03-13 09:30:00,-0.3135,True,27.29,34.17,7,data_end,4
