ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year
AMD,2025-11-21,2025-12-01,197.47,217.19,9.9863,10,hard_max,29.99,25.76,2025
AMZN,2025-03-11,2025-03-18,195.48,190.82,-2.3839,10,hard_max,33.23,25.72,2025
AMZN,2025-11-21,2025-11-25,216.26,229.6,6.1685,5,ema21,31.37,25.76,2025
AVGO,2025-04-04,2025-04-08,141.36,166.52,17.7985,4,ema21,21.33,27.38,2025
BA,2025-11-21,2025-11-26,178.46,187.06,4.819,7,ema21,21.36,25.76,2025
BA,2026-03-11,2026-03-18,215.23,207.22,-3.7216,10,hard_max,33.63,25.51,2026
BABA,2025-04-04,2025-04-11,112.82,103.77,-8.0216,10,hard_max,22.66,27.38,2025
BIDU,2025-04-04,2025-04-11,80.52,80.74,0.2732,10,hard_max,23.74,27.38,2025
C,2025-03-11,2025-03-18,64.96,68.15,4.9107,10,hard_max,22.02,25.72,2025
C,2025-04-04,2025-04-11,56.0,58.75,4.9107,10,hard_max,20.11,27.38,2025
COIN,2025-03-11,2025-03-18,185.2,181.98,-1.7387,10,hard_max,30.74,25.72,2025
COIN,2025-04-04,2025-04-10,153.18,169.3,10.5236,8,ema21,28.49,27.38,2025
COIN,2025-11-21,2025-11-28,234.54,277.54,18.3338,8,ema21,25.54,25.76,2025
COST,2025-03-11,2025-03-18,919.47,896.96,-2.4481,10,hard_max,20.84,25.72,2025
GOOGL,2025-03-11,2025-03-18,163.43,156.7,-4.118,10,hard_max,30.29,25.72,2025
GS,2025-03-11,2025-03-18,516.57,540.64,4.6596,10,hard_max,21.96,25.72,2025
MARA,2025-04-04,2025-04-11,10.32,11.97,15.9884,10,ema21,31.68,27.38,2025
META,2025-03-11,2025-03-18,598.92,577.5,-3.5764,10,hard_max,31.72,25.72,2025
META,2026-03-13,2026-04-02,613.26,571.46,-6.816,10,hard_max,34.88,26.95,2026
MU,2025-04-04,2025-04-11,65.37,66.81,2.2028,10,hard_max,18.17,27.38,2025
MU,2025-11-21,2025-11-26,195.82,228.71,16.796,6,ema21,31.19,25.76,2025
NVDA,2025-03-11,2025-03-13,106.28,116.63,9.7384,4,ema21,26.85,25.72,2025
NVDA,2025-04-04,2025-04-10,94.07,109.06,15.9349,7,ema21,26.02,27.38,2025
PLTR,2025-03-11,2025-03-14,75.87,85.12,12.1919,6,ema21,33.06,25.72,2025
TSLA,2025-03-11,2025-03-18,222.65,225.08,1.0914,10,hard_max,19.28,25.72,2025
TSM,2025-03-11,2025-03-18,166.73,170.11,2.0272,10,hard_max,26.54,25.72,2025
TSM,2025-04-04,2025-04-11,146.98,152.34,3.6468,10,hard_max,24.67,27.38,2025
V,2025-03-11,2025-03-18,329.05,330.92,0.5683,10,hard_max,29.65,25.72,2025
